,3110035E14Rik_class,Aldoc_class,Cck_class,Cplx2_class,Enc1_class,Gad1_class,Id2_class,Ndnf_class,Neurod6_class,Npy2r_class,Pcp4_class,Pde1a_class,Plp1_class,Prkca_class,Pvalb_class,Reln_class,Rgs4_class,Sst_class,Wfs1_class,Zero
Kit,0.8129770851872545,0.012522894240973637,0.00025779623967363047,0.32189867414960016,0.8855221095218566,1.767362877641949,0.027708567543362195,0.05256709993741704,0.09730025395819324,0.0,0.7256088844120546,0.9001419718831054,0.012710780974806738,0.1153506783766293,0.0,0.03871527977600099,0.17250493751176388,0.125265969301785,0.2523622678184222,0.008785002693998343
Lamp5,0.0,0.027068888875940004,0.003929028997326354,0.024937211884293403,0.028554188100250164,0.9215912388891533,1.2135642444623498,0.0,0.01423047824056323,0.00034290942790209355,0.0,0.0,6.400164580115444e-05,0.07257101125120992,4.820577408921144e-05,0.022774471577341193,0.014457755500805322,0.0,0.09156395722190869,0.01257202478391789
Lhx6,0.07068198751059523,0.004008466375398607,0.0005336491561733803,0.0023862608970828428,0.00012179456755164216,0.0,0.273988068040039,0.0,0.003833850835479354,0.13179491766145862,0.0,0.0,0.0015623726013296313,0.02416964826413882,0.16575064829795735,0.04036814621874267,0.015269080463927918,0.17881347178606385,0.012111669682180734,0.00582822261688149
Ndnf,0.0,0.049012875532464945,0.0,0.0,0.0,2.126696683608475,0.06614912222836616,1.9279482736193714,0.0,0.0794732005367285,0.0,0.0,0.008537617297875534,0.006725581137627011,0.0,0.8454825622660072,0.02881746461344318,0.2787536225572012,0.005433400828496798,0.02427245407778815
Neurod6,12.406226227559603,0.24081247335179115,1.7659328642645653,7.5295567016933775,8.599885982557407,0.037278051280469536,0.9269334115306738,0.04334906535089049,9.668671318822703,1.1784162538534977,15.513382688413815,14.012453061886003,0.04333032784581372,7.560485290682183,0.8313072458982587,0.05867673760326715,3.6733154165571373,0.12060652704755118,6.759622322230759,0.11292872659130923
Nos1,0.0010458326011921636,0.009726848251227887,0.12396145385669313,0.00509193296422111,0.0007730176022076719,0.06585581535036165,0.3154660160685814,0.0,0.0,0.003908855637988154,0.3169479168746662,0.0001430363059948346,0.0,0.03277120600032649,0.08389263205656548,0.03688526111617184,0.009548222325934838,0.05037546675545476,0.02508422404659592,0.004294848072445942
Nov,0.0001854596154184748,0.009232469780029789,0.06336625069944356,0.011290223313227595,0.01381282893578528,0.0649007718182933,0.04684971184915074,0.0,0.025641336591201158,0.06051148935144105,0.30298826437094867,0.17494524939196204,0.0020690633304640514,0.08650096862085792,0.0,0.0,0.012354333750267614,0.02707422630963589,0.6334549078868296,0.008145695765968568
Npy,0.9385284836612239,0.042599356145029396,0.3891685956792055,0.16070855223909422,0.23373621574715933,8.005451546499588,3.7026627569003954,2.9286828200147346,0.07903256328451046,6.355837110821327,0.0,0.2307510591906344,0.29862758371361314,0.15592948233689458,1.230960515742563,0.5279523267558166,0.4059031804231285,6.361805820616048,0.08519195775707415,0.051750511248456345
Npy2r,0.15269663254854182,0.003387542814990132,0.0723417257082299,0.4833868160315054,0.16831907730756468,0.0,0.03783773647837532,0.0,0.43957748153670734,0.332870123569843,0.6937245708229539,0.004749479579698135,0.011907664979452481,0.026122220012822238,0.05601172489314607,0.034974420293715,0.16544015891214528,0.023126339529184022,0.011521454332040862,0.00523315393538356
Nr4a2,0.1307144400961204,0.00033924824158933773,0.0,0.0,0.028867435228879502,0.1983347640329058,0.0,0.0,0.03288471231798002,0.0,0.0006226052657771022,0.0,0.0025362008509980903,0.07747474798245545,0.0,0.00589230183470811,0.0005101059492428826,0.0002170979206522254,0.0007397753013290723,0.005009578770578333
Nrn1,2.000469661406974,0.143220516644785,0.1554783143167343,0.45304377915092603,1.0523273648644267,0.0,0.010432984318782892,0.0005063483628931666,0.9985738509100415,0.0734318571595253,2.7703912352103814,1.6113680435694966,0.005472429683034395,0.6520734282026036,0.04631271499980098,0.018913693221066803,0.9477072157039852,0.06828530195952297,0.2539023314772992,0.03138966025674195
Nrsn1,0.6984046110963826,0.27644051438213,0.16537789981688653,0.022154095148366335,0.30874050873832126,0.29035833570033937,1.3512289481635318,0.42651542604074044,0.030444873863467087,1.2225384100704415,1.095953967457585,0.005747833262914103,0.04974737017624638,0.2455893817369986,1.1142884477354478,0.7301406755220596,0.9004298926815689,0.3909252922510728,0.19549613176108563,0.08619059399633343
Ntng1,0.0,0.0037764802529476403,0.18605463569121172,0.011124633813043296,0.0,0.0,0.0,0.3823128714461898,0.0,0.0,0.0,0.09643052138837278,0.006818720510998554,0.017838725625767018,0.0,0.3581417864578655,0.016022663859414615,5.030121335807842e-05,0.0338489421057371,0.0055013175397991285
Pax6,0.0006921853174024332,0.0,0.0,0.029671121740620747,0.08499103434672982,0.0,4.947888044439815e-05,0.054380867001708494,0.00015532141817006193,0.0,0.0,0.0,0.0013494890967327541,0.011968826630295288,0.052757323748168626,0.01711337648535918,6.437372192977242e-05,0.0,0.04259168231811774,0.000555089003190278
Pcp4,3.6340490440734117,0.542243524619379,0.10394284459594028,8.685364046588806,6.203237747219395,0.1276599481022874,0.5038654894263168,0.09564846391900214,1.1965956935214688,0.9514030342530421,12.93984190894009,6.985438367790013,0.15604247658406992,0.1798142951691094,0.24645356383831074,0.7253362088559214,6.415431043806497,0.3129762219691886,0.1367352587916621,0.1282217914272707
Pde1a,2.7399395663894257,0.21174035054047669,0.7856405319914234,2.8246115698800547,1.9596160377929086,0.12853416587942018,0.32150343777067997,0.2188695822273988,1.6403342501805172,0.17467707279402564,4.875217628976371,2.5275410360322814,0.059932773970933155,1.5800642741043327,0.13687231390974608,0.0038444816347852928,1.5849835594069428,0.21810454607266955,0.8091984997246482,0.054152095466997736
Penk,0.0,0.01828545652310217,1.0643988551028578,0.14472059855351227,0.035480304720711654,0.0,0.0008176423634461722,0.0,0.027922017939840983,0.006487648649786922,1.231880934932126,0.08737409165907233,0.0023549302032866114,0.16475741139747146,0.0743341791375536,0.03721106954320082,5.752376099383027e-05,0.0,0.14386128299128578,0.009442449222832784
Plcxd2,0.0,0.018107186567980812,0.0,0.06049275021254241,0.3414634643345706,0.19796363842518783,0.16918237607782893,0.0,0.03066870672408966,0.1752660276636814,0.0108406973163224,0.24927171651661967,0.0065026953742901746,0.011881703187220864,0.1577538437324383,0.017872888682659065,0.026547155245073905,0.12658595301083983,0.001966634789436066,0.005640357361441849
Plp1,0.005182963072525258,0.35768998012141073,0.06735593092116443,0.13041909815919972,0.028495700843387376,0.3224892016967147,0.004448102131630886,0.007220230100767406,1.6571679160571742,0.17315706666552994,0.027121622742178622,0.00020977332144030735,10.756009391937388,0.0802737600302466,0.05055311802171456,0.6551821542647673,0.11937075294922168,0.7212820823805411,0.030298657044146384,0.2135616060583552
Pnoc,0.0,0.005739556951625385,0.06006153463418368,0.025149012938042562,0.03188700619467106,0.26395007208165094,0.2732864764478414,0.16086775612565185,0.0,0.06282415027181133,0.00036376359564822765,0.0,0.0,0.026359142882936972,0.05349550908784472,0.07448102301205767,0.0,0.07613524996295896,0.05148494718533402,0.002031402834607123
Prkca,6.287209156474448,0.30586571537041074,1.1646698175559889,4.190238659973559,4.401248643620081,0.20544813023698852,1.480094780496284,0.8064745971087494,4.149585455044448,0.7259568861860665,10.392114222335845,5.878776050110688,0.10611277339015106,1.5036893322243172,0.8038611772849965,0.0881915199570941,2.982556305790086,0.09135811083212064,1.9070421964322721,0.08994147619464063
Pthlh,0.0,0.001937341542124586,0.0,0.006784637773538998,0.10806752645539648,0.0,0.0,0.0,0.031392162391895344,0.25962904886571786,0.0,0.0021091898725176255,0.0006283495655322491,0.012573153369937648,0.33522252873496067,0.0,0.013688036134107578,0.0,0.032333671317774516,0.0016267061507939662
Pvalb,0.27777879902577113,0.17237061152053573,0.12024060953525104,0.4661497239908498,0.022686294355524453,0.0,0.007683118886059849,0.0,0.026395851878175402,13.56691051917421,0.3244646155085115,0.0051788384721223255,0.04412610344771118,0.08270510332525773,13.324845708344256,0.05361329348603065,0.26054145756657754,0.45771563388604936,0.026925269554896006,0.09829337817096405
Pvrl3,0.39484889587105354,0.006170717199927981,7.097145181153405e-05,0.027854733464314885,0.0741228655349662,0.0,0.03365035545590877,0.0,0.6003270062883176,0.0,0.0,0.09511639277625936,0.014774813428820236,0.03218889444537571,0.024823054997762523,0.0012403534239761372,0.08960843498214846,0.07443950709372436,0.023613017534559192,0.005502221255207145
Qrfpr,0.07533475598717132,0.0,0.0,0.056437154341931084,0.002432745270160505,0.0,0.0,0.0,0.0,0.0,0.0,0.09918824300178865,0.0,0.01978816868968112,0.02794614017097324,0.0386606589023514,0.013958232351502117,0.04600526680178824,0.021797744592084396,0.002004507446671992
